exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
termination_budgeted,400000,81267,10000,10.000,7,80688.20,50.75,348.16,102.40,126.46,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,8,80426.79,50.93,331.77,102.40,129.53,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,9,80237.61,51.05,309.25,102.40,136.19,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,10,79976.60,51.20,309.25,103.42,137.22,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,450000,91407,10000,10.000,1,80108.46,51.18,335.87,100.35,130.05,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,2,81258.43,50.38,315.39,100.35,129.02,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,3,80903.55,50.63,321.54,100.35,125.95,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,4,81316.78,50.36,319.49,99.84,125.44,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,5,80755.34,50.72,495.62,102.40,135.17,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,6,81063.87,50.51,294.91,99.84,128.51,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,7,79751.84,51.37,344.06,99.33,128.51,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,8,81459.48,50.27,315.39,99.33,123.39,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,9,82815.29,50.35,301.06,98.81,119.30,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,450000,91407,10000,10.000,10,80857.59,50.66,305.15,100.35,124.42,665311.61,6.16,16.73,94.98,10359.75,36289569,36289574,10136.69,262630.29
termination_budgeted,500000,101573,10000,10.000,1,80935.72,50.61,307.20,100.35,123.39,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,2,80774.03,50.69,321.54,100.86,125.44,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,3,81119.72,50.49,321.54,99.33,126.46,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,4,80522.67,50.89,313.34,100.86,131.07,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,5,81369.38,50.32,309.25,100.35,123.39,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,6,82221.97,50.67,317.44,100.35,130.56,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,7,81042.24,50.54,315.39,98.81,130.56,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,8,81045.47,50.52,315.39,98.81,133.12,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,9,81184.21,50.45,315.39,99.84,124.42,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
termination_budgeted,500000,101573,10000,10.000,10,82625.28,50.62,311.30,99.84,122.88,665311.61,6.16,16.73,94.98,10359.06,36695257,36695262,10137.09,262497.47
