exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
no_termination,450000,91407,0,0.000,3,115639.78,35.41,270.33,76.29,101.89,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,4,121801.22,33.61,274.43,70.14,99.33,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,5,115624.12,35.42,260.10,74.24,98.81,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,6,112866.48,36.26,274.43,83.97,115.71,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,7,115607.30,35.44,274.43,72.19,98.30,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,8,113418.99,36.08,272.38,82.94,113.15,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,9,120833.73,33.88,286.72,74.75,98.81,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,10,113999.13,35.91,274.43,78.33,103.94,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,500000,101573,0,0.000,1,111068.41,36.87,288.77,79.36,103.42,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,2,105969.48,38.64,284.67,79.87,102.91,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,3,105267.68,38.90,282.62,81.92,109.57,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,4,103829.22,39.41,276.48,88.58,117.25,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,5,105321.42,38.85,274.43,83.45,110.08,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,6,104289.47,39.28,266.24,87.55,117.25,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,7,104331.79,39.25,280.57,87.04,112.64,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,8,105790.66,38.70,268.29,81.41,108.03,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,9,105309.55,38.87,284.67,81.41,108.03,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
no_termination,500000,101573,0,0.000,10,104130.64,39.34,272.38,90.11,119.30,665311.61,6.16,16.73,94.98,7404.18,45248477,0,0.00,0.00
