exp_mode,work_iters,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations
# Baseline (no BPF, avg of 20/20 runs): 532744.22 ops/sec, 7.72 ms avg, 22.88 ms p99, 88.04 ms max latency
termination_immediate,0,19,484234.31,8.45,90.62,27.26,57.09,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,0,20,473327.67,8.65,89.60,26.75,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,1,488919.21,8.37,83.45,25.60,55.30,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,2,502787.25,8.14,86.53,25.86,58.37,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,3,526781.09,7.77,90.11,22.66,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,4,509625.93,8.03,91.14,23.68,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,5,526948.94,7.77,80.38,21.63,50.43,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,6,519103.17,7.89,77.82,24.83,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,7,511639.07,8.00,87.04,24.32,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,8,516638.63,7.92,79.36,23.68,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,9,507811.00,8.06,86.53,24.32,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,10,497079.90,8.23,79.87,26.88,56.58,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,11,510734.60,8.02,83.45,24.32,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,12,497803.89,8.22,94.21,24.06,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,13,513445.13,7.97,77.82,22.27,51.20,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,14,510788.14,8.01,78.85,24.83,55.30,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,15,490305.80,8.35,78.85,25.60,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,16,509816.58,8.03,89.09,25.34,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,17,517676.48,7.91,85.50,24.06,55.30,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,18,505981.42,8.09,81.92,24.83,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,19,514326.90,7.96,89.60,22.91,52.73,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,50000,20,511046.74,8.01,90.62,24.19,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,1,510465.44,8.02,84.99,24.32,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,2,484069.70,8.46,79.36,26.50,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,3,469370.59,8.72,87.04,27.39,59.65,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,4,478338.20,8.56,82.94,27.90,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,5,528045.71,7.75,88.58,21.38,50.94,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,6,524757.78,7.80,86.53,22.66,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,7,516342.41,7.93,77.82,22.14,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,8,497632.82,8.22,82.94,25.98,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,9,515166.11,7.95,82.43,23.17,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,10,514154.28,7.96,75.78,24.57,53.76,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,11,511311.10,8.01,86.02,25.21,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,12,506992.68,8.07,78.33,25.09,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,13,513614.87,7.97,83.45,23.55,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,14,500972.91,8.17,81.92,26.50,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,15,500833.29,8.17,100.86,24.32,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,16,459967.42,8.90,83.97,29.18,58.62,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,17,472723.08,8.66,83.45,28.54,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,18,506442.65,8.08,86.02,23.04,52.48,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,19,518274.92,7.90,79.87,23.17,52.22,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,100000,20,520174.76,7.87,77.31,23.81,52.73,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,1,509113.36,8.04,88.06,24.83,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,2,510408.60,8.02,89.60,25.47,57.34,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,3,493167.01,8.30,89.60,25.34,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,4,490416.98,8.35,82.43,24.96,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,5,471997.70,8.67,84.48,25.21,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,6,499584.23,8.19,80.38,24.70,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,7,486152.04,8.41,99.33,25.98,56.83,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,8,455479.86,8.99,81.92,29.82,57.34,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,9,500901.61,8.53,95.74,26.50,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,10,466816.38,8.77,87.04,27.14,60.67,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,11,467008.12,8.77,75.78,27.14,56.58,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,12,514210.92,7.96,78.85,24.19,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,13,520451.47,7.87,90.62,24.19,55.30,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,14,518969.85,7.89,90.11,23.04,53.50,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,15,533353.79,8.02,84.99,24.06,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,16,511090.54,8.01,75.78,24.57,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,17,501879.38,8.16,79.36,25.09,54.78,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,18,524663.55,8.20,84.99,25.34,55.30,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,19,514285.59,7.96,96.25,22.91,52.48,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,150000,20,501906.66,8.16,87.55,26.62,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,1,481166.65,8.51,83.45,27.01,57.85,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,2,495416.87,8.26,73.73,25.73,53.25,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,3,511522.51,8.00,84.99,24.96,56.06,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,4,503511.10,8.13,83.97,25.09,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,5,504320.22,8.12,87.55,24.57,55.04,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,6,491994.98,8.32,81.41,25.73,57.60,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,7,510822.59,8.02,86.53,22.40,53.50,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,8,529306.23,7.73,90.62,23.68,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,9,522170.66,7.84,89.60,22.02,52.73,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,10,513342.20,7.97,83.45,23.42,54.53,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,11,525938.03,7.78,78.85,22.14,54.02,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,12,493670.28,8.29,82.94,25.21,56.32,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,13,483103.69,8.47,81.41,27.26,54.27,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,14,501483.63,8.16,81.41,24.45,55.81,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,15,529606.97,7.73,83.97,24.70,55.55,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,16,527684.94,7.76,72.19,22.27,52.99,532744.22,7.72,22.88,88.04,0.00,0
termination_immediate,200000,17,506960.92,8.07,87.55,23.68,56.32,532744.22,7.72,22.88,88.04,0.00,0
