kernel_type,shape,param_name,param_value,run,verification_time_ns,processed_insns,max_states_per_insn,total_states,peak_states,unwind_bytes,memory_source
kflex,mem_deep_ladder,FRAME_DEPTH,4,3,174000,38,1,3,3,1120,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,5,1,149000,48,1,4,4,1400,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,5,2,195000,48,1,4,4,1400,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,5,3,208000,48,1,4,4,1400,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,6,1,223000,58,1,5,5,1680,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,6,2,238000,58,1,5,5,1680,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,6,3,471000,58,1,5,5,1680,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,7,1,183000,68,1,6,6,1960,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,7,2,390000,68,1,6,6,1960,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,7,3,256000,68,1,6,6,1960,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,8,1,200000,71,1,7,7,2240,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,8,2,302000,71,1,7,7,2240,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,8,3,240000,71,1,7,7,2240,unwind_total
kflex,mem_many_big_descs,DESC_PCS,8,1,644000,50,0,4,4,12880,unwind_total
kflex,mem_many_big_descs,DESC_PCS,8,2,529000,50,0,4,4,12880,unwind_total
kflex,mem_many_big_descs,DESC_PCS,8,3,435000,50,0,4,4,12880,unwind_total
kflex,mem_many_big_descs,DESC_PCS,16,1,1136000,90,0,8,8,25744,unwind_total
kflex,mem_many_big_descs,DESC_PCS,16,2,925000,90,0,8,8,25744,unwind_total
kflex,mem_many_big_descs,DESC_PCS,16,3,1072000,90,0,8,8,25744,unwind_total
kflex,mem_many_big_descs,DESC_PCS,24,1,1788000,130,0,12,12,38608,unwind_total
kflex,mem_many_big_descs,DESC_PCS,24,2,2093000,130,0,12,12,38608,unwind_total
kflex,mem_many_big_descs,DESC_PCS,24,3,1516000,130,0,12,12,38608,unwind_total
kflex,mem_many_big_descs,DESC_PCS,32,1,1862000,169,0,16,16,51472,unwind_total
kflex,mem_many_big_descs,DESC_PCS,32,2,1850000,169,0,16,16,51472,unwind_total
kflex,mem_many_big_descs,DESC_PCS,32,3,1868000,169,0,16,16,51472,unwind_total
kflex,mem_many_big_descs,DESC_PCS,40,1,2370000,209,0,20,20,64336,unwind_total
kflex,mem_many_big_descs,DESC_PCS,40,2,2381000,209,0,20,20,64336,unwind_total
kflex,mem_many_big_descs,DESC_PCS,40,3,2003000,209,0,20,20,64336,unwind_total
kflex,mem_many_big_descs,DESC_PCS,48,1,2151000,249,0,24,24,77200,unwind_total
kflex,mem_many_big_descs,DESC_PCS,48,2,2383000,249,0,24,24,77200,unwind_total
kflex,mem_many_big_descs,DESC_PCS,48,3,2212000,249,0,24,24,77200,unwind_total
kflex,mem_many_big_descs,DESC_PCS,56,1,2784000,289,0,28,28,90064,unwind_total
kflex,mem_many_big_descs,DESC_PCS,56,2,4520000,289,0,28,28,90064,unwind_total
kflex,mem_many_big_descs,DESC_PCS,56,3,3718000,289,0,28,28,90064,unwind_total
kflex,mem_many_big_descs,DESC_PCS,64,1,4533000,328,0,32,32,102928,unwind_total
kflex,mem_many_big_descs,DESC_PCS,64,2,3677000,328,0,32,32,102928,unwind_total
kflex,mem_many_big_descs,DESC_PCS,64,3,2987000,328,0,32,32,102928,unwind_total
